11.574,0.64087,0.13383,0.12877,-3.7409
11.574,0,0,0,0
11.243,0,0,0,0
11.007,0,0,0,0
10.834,0,0,0,0
10.695,0,0,0,0
10.576,0,0,0,0
10.469,0,0,0,0
10.371,0,0,0,0
10.277,0,0,0,0
10.185,0,0,0,0
10.094,0,0,0,0
10.002,0,0,0,0
9.9054,0,0,0,0
9.8023,0,0,0,0
9.6888,0,0,0,0
9.5589,0,0,0,0
9.4012,0,0,0,0
9.1936,0,0,0,0
9.1427,0,0,0,0
9.0876,0,0,0,0
9.0264,0,0,0,0
8.9602,0,0,0,0
8.8861,0,0,0,0
8.8039,0,0,0,0
8.7144,0,0,0,0
8.6178,0,0,0,0
8.5193,0,0,0,0
8.4208,0,0,0,0
8.0366,0,0,0,0
7.8077,0,0,0,0
7.6537,0,0,0,0
7.539,0,0,0,0
7.4483,0,0,0,0
